,account_id,platform,release_date,icon,last_update,market,product_id,app_name,active
0,155623,[Universal],4/10/2014,https://static-s.aa-cdn.net/img/ios/830544402/27e3ebba66c9906ad953873959b3199c,3/30/2015,ios,830544402,Leo's Fortune,TRUE
0,189325,[Universal],12/16/2014,https://static-s.aa-cdn.net/img/ios/384844988/e335b13dcbdf9b33dc04aafbb49af540,3/30/2015,ios,384844988,Valor,TRUE
0,189326,[Universal],1/1/2014,https://static-s.aa-cdn.net/img/ios/384844988/e335b13dcbdf9b33dc04aafbb49af540,1/18/2015,ios,384844988,Valor,TRUE
0,193503,[Universal],1/9/2015,https://static-s.aa-cdn.net/img/ios/642606469/bb39fa013e093a91c33eca1ea9f3b4c0,3/29/2015,ios,642606469,The Sleeping Prince: Royal Edition,TRUE
0,199506,[Universal],1/23/2015,https://static-s.aa-cdn.net/img/ios/957031988/9ebc3792f1f0e09ca5ec36098b0bb172,3/30/2015,ios,957031988,Languinis: Match and Spell,TRUE
0,155627,[Universal],6/11/2014,https://static-s.aa-cdn.net/img/ios/675745574/2f977bfe17063e519dc1c09142c0834e,3/30/2015,ios,675745574,Toy Rush,TRUE
0,155620,[Android],6/10/2014,https://static-s.aa-cdn.net/img/gp/20600003213492/-CALrx_3kDL2uCCblR2D2f6eoTjQMXKwcVDoWS5thVLogTrPZ4no8Pwly4ZAFnl7PPc=w300,3/30/2015,google-play,2.06E+13,Leo's Fortune,TRUE
0,174801,[Android],10/7/2014,https://static-s.aa-cdn.net/img/gp/20600003541083/OfLb6qGMwdmS6tanzd-lGjloeZx6kG1I3K01qgoWn5lT5JbskR58Ies5L232g7NLuDo=w300,3/27/2015,google-play,2.06E+13,Little Giovanni,TRUE
0,175866,[Android],10/24/2014,https://static-s.aa-cdn.net/img/gp/20600003607464/dvtAyRiHodZHd05A6ZtIqbOs6To9Xmu2ZTJYp0ML05Seze7tE5b1GcV0iwfitI1Z3JA=w300,12/31/2014,google-play,2.06E+13,Sky Vikings,TRUE
0,186650,[Android],1/6/2015,https://static-s.aa-cdn.net/img/gp/20600003826492/ys-VBLxa05M3V1F1ah9VOOIVIzcjWObw7r5_383JeY5xO6BJr_bv9sEdc7ketlfnUN8=w300,3/30/2015,google-play,2.06E+13,The Sleeping Prince Royal Ed.,TRUE
0,193501,[Android],1/6/2015,https://static-s.aa-cdn.net/img/gp/20600003826492/ys-VBLxa05M3V1F1ah9VOOIVIzcjWObw7r5_383JeY5xO6BJr_bv9sEdc7ketlfnUN8=w300,3/30/2015,google-play,2.06E+13,The Sleeping Prince Royal Ed.,TRUE
0,199507,[Android],2/13/2015,https://static-s.aa-cdn.net/img/gp/20600003998457/J5nc7gJOQ0qD6zt-mTtuxlJvR8W6bi-V8BplByB5tVKkV6JMvnvcc3sFx9yaTl69aw=w300,3/29/2015,google-play,2.06E+13,Languinis: Match and Spell,TRUE
0,162855,[Android],7/25/2014,https://static-s.aa-cdn.net/img/gp/20600003337998/xwFrHDxBJu0Smt7UwBV3i1z_7OwR3REe6svzUAF4hDwhKfDJEA-sO9u3b08y4LpTvuoX=w300,3/29/2015,google-play,2.06E+13,Toy Rush,TRUE
0,166912,,9/9/2014,https://static-s.aa-cdn.net/img/amazon/30600000231722/afd645efeab9d81c4ebbf0de121dc977,3/30/2015,amazon-appstore,3.06E+13,Leo's Fortune,TRUE
0,193502,,12/3/2014,https://static-s.aa-cdn.net/img/amazon/30600000273427/8bf9a7764792c868c7a8a3a6fced36fa,3/29/2015,amazon-appstore,3.06E+13,The Sleeping Prince: Royal Edition,TRUE
0,155623,[Universal],4/10/2014,https://static-s.aa-cdn.net/img/ios/830544402/27e3ebba66c9906ad953873959b3199c,3/30/2015,ios,830544402,Leo's Fortune,TRUE
0,189325,[Universal],12/16/2014,https://static-s.aa-cdn.net/img/ios/384844988/e335b13dcbdf9b33dc04aafbb49af540,3/30/2015,ios,384844988,Valor,TRUE
0,189326,[Universal],1/1/2014,https://static-s.aa-cdn.net/img/ios/384844988/e335b13dcbdf9b33dc04aafbb49af540,1/18/2015,ios,384844988,Valor,TRUE
0,193503,[Universal],1/9/2015,https://static-s.aa-cdn.net/img/ios/642606469/bb39fa013e093a91c33eca1ea9f3b4c0,3/29/2015,ios,642606469,The Sleeping Prince: Royal Edition,TRUE
0,199506,[Universal],1/23/2015,https://static-s.aa-cdn.net/img/ios/957031988/9ebc3792f1f0e09ca5ec36098b0bb172,3/30/2015,ios,957031988,Languinis: Match and Spell,TRUE
0,155627,[Universal],6/11/2014,https://static-s.aa-cdn.net/img/ios/675745574/2f977bfe17063e519dc1c09142c0834e,3/30/2015,ios,675745574,Toy Rush,TRUE
0,155620,[Android],6/10/2014,https://static-s.aa-cdn.net/img/gp/20600003213492/-CALrx_3kDL2uCCblR2D2f6eoTjQMXKwcVDoWS5thVLogTrPZ4no8Pwly4ZAFnl7PPc=w300,3/30/2015,google-play,2.06E+13,Leo's Fortune,TRUE
0,174801,[Android],10/7/2014,https://static-s.aa-cdn.net/img/gp/20600003541083/OfLb6qGMwdmS6tanzd-lGjloeZx6kG1I3K01qgoWn5lT5JbskR58Ies5L232g7NLuDo=w300,3/27/2015,google-play,2.06E+13,Little Giovanni,TRUE
0,175866,[Android],10/24/2014,https://static-s.aa-cdn.net/img/gp/20600003607464/dvtAyRiHodZHd05A6ZtIqbOs6To9Xmu2ZTJYp0ML05Seze7tE5b1GcV0iwfitI1Z3JA=w300,12/31/2014,google-play,2.06E+13,Sky Vikings,TRUE
0,186650,[Android],1/6/2015,https://static-s.aa-cdn.net/img/gp/20600003826492/ys-VBLxa05M3V1F1ah9VOOIVIzcjWObw7r5_383JeY5xO6BJr_bv9sEdc7ketlfnUN8=w300,3/30/2015,google-play,2.06E+13,The Sleeping Prince Royal Ed.,TRUE
0,193501,[Android],1/6/2015,https://static-s.aa-cdn.net/img/gp/20600003826492/ys-VBLxa05M3V1F1ah9VOOIVIzcjWObw7r5_383JeY5xO6BJr_bv9sEdc7ketlfnUN8=w300,3/30/2015,google-play,2.06E+13,The Sleeping Prince Royal Ed.,TRUE
0,199507,[Android],2/13/2015,https://static-s.aa-cdn.net/img/gp/20600003998457/J5nc7gJOQ0qD6zt-mTtuxlJvR8W6bi-V8BplByB5tVKkV6JMvnvcc3sFx9yaTl69aw=w300,3/29/2015,google-play,2.06E+13,Languinis: Match and Spell,TRUE
0,162855,[Android],7/25/2014,https://static-s.aa-cdn.net/img/gp/20600003337998/xwFrHDxBJu0Smt7UwBV3i1z_7OwR3REe6svzUAF4hDwhKfDJEA-sO9u3b08y4LpTvuoX=w300,3/29/2015,google-play,2.06E+13,Toy Rush,TRUE
0,166912,,9/9/2014,https://static-s.aa-cdn.net/img/amazon/30600000231722/afd645efeab9d81c4ebbf0de121dc977,3/30/2015,amazon-appstore,3.06E+13,Leo's Fortune,TRUE
